H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
181.0,262.0,41.0,28.0,0.001,35.35149345411435,51.171775055126844,8.007796859771759,5.468739318868518,0.00019531211853101853,-8.608059118968242,-6.19064907458474,PentagonRegions.T1,PentagonRegions.T1
173.0,334.0,172.0,812.5,37.7,11.313104891446507,21.841485744179963,11.247711221553754,53.13235678786293,2.4653413549568404,3.6763824438906205,-15.20409624491134,PentagonRegions.T3,PentagonRegions.T3
127.0,107.0,11.0,154.0,224.0,20.38523274478331,17.174959871589085,1.7656500802568218,24.719101123595504,35.95505617977528,11.018681323949272,0.1807197631679186,PentagonRegions.D2,PentagonRegions.D2
60.0,40.0,6.9,110.0,70.0,20.913210177762288,13.942140118508192,2.4050191704426633,38.34088532589753,24.398745207389336,9.984788755940807,-4.734896386992967,PentagonRegions.D2,PentagonRegions.D2
220.0,340.0,42.0,480.0,14.0,20.072992700729927,31.02189781021898,3.832116788321168,43.79562043795621,1.2773722627737227,1.8049548584267228,-17.29381665307656,PentagonRegions.T3,PentagonRegions.T3
170.0,320.0,53.0,520.0,3.2,15.944475708122303,30.013130744700806,4.970924779591071,48.77133746013881,0.30013130744700806,2.5029419801615136,-18.657525839202727,PentagonRegions.T3,PentagonRegions.T3
27.0,90.0,42.0,63.0,0.2,12.151215121512152,40.5040504050405,18.901890189018903,28.352835283528353,0.09000900090009002,-6.873426896336349,-12.49640810247502,PentagonRegions.T2,PentagonRegions.T2
56.0,286.0,96.0,928.0,7.0,4.0786598689002185,20.830298616168974,6.991988346686089,67.5892206846322,0.5098324836125273,7.64864885764772,-21.529489378118765,PentagonRegions.T3,PentagonRegions.T3
200.0,48.0,14.0,117.0,131.0,39.21568627450981,9.411764705882353,2.7450980392156863,22.941176470588236,25.68627450980392,8.251983494055544,6.804596812070486,PentagonRegions.D2,PentagonRegions.D2
78.0,161.0,86.0,353.0,10.0,11.337209302325581,23.401162790697676,12.5,51.30813953488372,1.4534883720930232,2.4883230129075207,-15.004568282121975,PentagonRegions.T3,PentagonRegions.T3
32.4,5.5,1.4,12.6,13.2,49.76958525345622,8.448540706605224,2.1505376344086025,19.35483870967742,20.276497695852534,6.348940816938313,10.741533046586955,PentagonRegions.D2,PentagonRegions.D2
95.0,110.0,160.0,50.0,0.001,22.89151110479252,26.505960226601864,38.55412396596635,12.048163739364485,0.00024096327478728967,-13.260405245002564,1.6515806382352578,PentagonRegions.T1,PentagonRegions.T1
