H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
87.26617340501033,6.500439447516075,5.164732711725101,1.0685653886327795,8.904711571939829e-05,-1.7162329135051657,27.06514478292106,PentagonRegions.PD,PentagonRegions.S
38.18606638170315,31.026178935133807,7.875876191226275,22.91163982902189,0.0002386629148856447,-3.166132990621623,-6.460226060702139,PentagonRegions.T1,PentagonRegions.T3
85.75186576271008,6.992075208344052,4.617408156453619,2.6385189465449255,0.0001319259473272463,-1.537553298870752,25.549907551407053,PentagonRegions.PD,PentagonRegions.S
21.052631578947366,34.385964912280706,12.631578947368421,25.263157894736842,6.666666666666667,-3.087219737015466,-8.081215731298125,PentagonRegions.T2,PentagonRegions.T3
10.576414595452142,37.017451084082495,13.220518244315176,39.13273400317293,0.052882072977260705,-2.677464379846477,-16.007762357942457,PentagonRegions.T2,PentagonRegions.T3
77.73630873926508,16.169152217767138,5.8457704171927345,0.24875618796564827,1.2437809398282413e-05,-2.4039390961033322,21.11463153533102,PentagonRegions.T1,PentagonRegions.S
21.96078431372549,23.92156862745098,29.411764705882355,12.549019607843137,12.156862745098039,-7.035176408538958,1.589390889873392,PentagonRegions.PD,PentagonRegions.T1
